C1090.40,"Toilet, Bath, and Laundry Accessories"
C1090.45,Interior Gas Lighting
C1090.50,Fireplaces and Stoves
C1090.60,Safety Specialties
C1090.70,Storage Specialties
C1090.90,Other Interior Specialties
C20,Interior Finishes
C2010,Wall Finishes
C2010.10,Tile Wall Finish
C2010.20,Wall Paneling
C2010.30,Wall Coverings
C2010.35,Wall Carpeting
C2010.50,Stone Facing
C2010.60,Special Wall Surfacing
C2010.70,Wall Painting and Coating
C2010.80,Acoustical Wall Treatment
C2010.90,Wall Finish Supplementary Components
C2020,Interior Fabrications
C2030,Flooring
C2030.10,Flooring Treatment
C2030.20,Tile Flooring
C2030.30,Specialty Flooring
C2030.40,Masonry Flooring
C2030.45,Wood Flooring
C2030.50,Resilient Flooring
C2030.60,Terrazzo Flooring
C2030.70,Fluid-Applied Flooring
C2030.75,Carpeting
C2030.80,Athletic Flooring
C2030.85,Entrance Flooring
C2030.90,Flooring Supplementary Components
C2040,Stair Finishes
C2040.20,Tile Stair Finish
C2040.40,Masonry Stair Finish
C2040.45,Wood Stair Finish
C2040.50,Resilient Stair Finish
C2040.60,Terrazzo Stair Finish
C2040.75,Carpeted Stair Finish
C2050,Ceiling Finishes
C2050.10,Plaster and Gypsum Board Finish
C2050.20,Ceiling Paneling
C2050.70,Ceiling Painting and Coating
C2050.80,Acoustical Ceiling Treatment
C2050.90,Ceiling Finish Supplementary Components
C2090,Interior Finish Schedules
D,Services
D10,Conveying
D1010,Vertical Conveying Systems
D1010.10,Elevators
D1010.20,Lifts
D1010.30,Escalators
D1010.50,Dumbwaiters
D1010.60,Moving Ramps
D1030,Horizontal Conveying
D1030.10,Moving Walks
D1030.30,Turntables
D1030.50,Passenger Loading Bridges
D1030.70,People Movers
D1050,Material Handling
D1050.10,Cranes
D1050.20,Hoists
D1050.30,Derricks
D1050.40,Conveyors
D1050.50,Baggage Handling Equipment
D1050.60,Chutes
D1050.70,Pneumatic Tube Systems
D1080,Operable Access Systems
D1080.10,Suspended Scaffolding
D1080.20,Rope Climbers
D1080.30,Elevating Platforms
D1080.40,Powered Scaffolding
D1080.50,Building Envelope Access
D20,Plumbing
D2010,Domestic Water Distribution
D2010.10,Facility Potable-Water Storage Tanks
D2010.20,Domestic Water Equipment
D2010.40,Domestic Water Piping
D2010.60,Plumbing Fixtures
D2010.90,Domestic Water Distribution Supplementary Components
D2020,Sanitary Drainage
D2020.10,Sanitary Sewerage Equipment
D2020.30,Sanitary Sewerage Piping
D2020.90,Sanitary Drainage Supplementary Components
D2030,Building Support Plumbing Systems
D2030.10,Stormwater Drainage Equipment
D2030.20,Stormwater Drainage Piping
D2030.30,Facility Stormwater Drains
D2030.60,Gray Water Systems
D2030.90,Building Support Plumbing System Supplementary Components
D2050,General Service Compressed-Air
D2060,Process Support Plumbing Systems
D2060.10,Compressed-Air Systems
D2060.20,Vacuum Systems
D2060.30,Gas Systems
D2060.40,Chemical-Waste Systems
D2060.50,Processed Water Systems
D2060.90,Process Support Plumbing System Supplementary Components
D30,"Heating, Ventilation, and Air Conditioning (HVAC)"
D3010,Facility Fuel Systems
D3010.10,Fuel Piping
D3010.30,Fuel Pumps
D3010.50,Fuel Storage Tanks
D3020,Heating Systems
D3020.10,Heat Generation
D3020.30,Thermal Heat Storage
D3020.70,Decentralized Heating Equipment
D3020.90,Heating System Supplementary Components
D3030,Cooling Systems
D3030.10,Central Cooling
D3030.30,Evaporative Air-Cooling
D3030.50,Thermal Cooling Storage
D3030.70,Decentralized Cooling
D3030.90,Cooling System Supplementary Components
D3050,Facility HVAC Distribution Systems
D3050.10,Facility Hydronic Distribution
D3050.30,Facility Steam Distribution
D3050.50,HVAC Air Distribution
D3050.90,Facility Distribution Systems Supplementary Components
D3060,Ventilation
D3060.10,Supply Air
D3060.20,Return Air
D3060.30,Exhaust Air
D3060.40,Outside Air
D3060.60,Air-to-Air Energy Recovery
D3060.70,HVAC Air Cleaning
D3060.90,Ventilation Supplementary Components
D3070,Special Purpose HVAC Systems
D3070.10,Snow Melting
D40,Fire Protection
D4010,Fire Suppression
D4010.10,Water-Based Fire-Suppression
D4010.50,Fire-Extinguishing
D4010.90,Fire Suppression Supplementary Components
D4030,Fire Protection Specialties
D4030.10,Fire Protection Cabinets
D4030.30,Fire Extinguishers
D4030.50,Breathing Air Replenishment Systems
D4030.70,Fire Extinguisher Accessories
D50,Electrical
D5010,Facility Power Generation
D5010.10,Packaged Generator Assemblies
D5010.20,Battery Equipment
D5010.30,Photovoltaic Collectors
D5010.40,Fuel Cells
D5010.60,Power Filtering and Conditioning
D5010.70,Transfer Switches
D5010.90,Facility Power Generation Supplementary Components
D5020,Electrical Service and Distribution
D5020.10,Electrical Service
D5020.30,Power Distribution
D5020.70,Facility Grounding
D5020.90,Electrical Service and Distribution Supplementary Components
D5030,General Purpose Electrical Power
D5030.10,Branch Wiring System
D5030.50,Wiring Devices
D5030.90,General Purpose Electrical Power Supplementary Components
D5040,Lighting
D5040.10,Lighting Control
D5040.20,Branch Wiring for Lighting
D5040.50,Lighting Fixtures
D5040.90,Lighting Supplementary Components
D5080,Miscellaneous Electrical Systems
D5080.10,Lightning Protection
D5080.40,Cathodic Protection
D5080.70,Transient Voltage Suppression
D5080.90,Miscellaneous Electrical Systems Supplementary Components
D60,Communications
D6010,Data Communications
D6010.10,Data Communications Network Equipment
D6010.20,Data Communications Hardware
D6010.30,Data Communications Peripheral Data Equipment
D6010.50,Data Communications Software
D6010.60,Data Communication Program and Integration Services
D6020,Voice Communications
D6020.10,Voice Communications Switching and Routing Equipment
D6020.20,Voice Communications Terminal Equipment
D6020.30,Voice Communications Messaging
D6020.40,Call Accounting
D6020.50,Call Management
D6030,Audio-Video Communication
D6030.10,Audio-Video Systems
D6030.50,Electronic Digital Systems
D6060,Distributed Communications and Monitoring
D6060.10,Distributed Audio-Video
D6060.30,Healthcare Communications and Monitoring
D6060.50,Distributed Systems
D6090,Communications Supplementary Components
D6090.10,Supplementary Components
D70,Electronic Safety and Security
D7010,Access Control and Intrusion Detection
D7010.10,Access Control
D7010.50,Intrusion Detection
D7030,Electronic Surveillance
D7030.10,Video Surveillance
D7030.50,Electronic Personal Protection
D7050,Detection and Alarm
D7050.10,Fire Detection and Alarm
D7050.20,Radiation Detection and Alarm
D7050.30,Fuel-Gas Detection and Alarm
D7050.40,Fuel-Oil Detection and Alarm
D7050.50,Refrigeration Detection and Alarm
D7050.60,Water Intrusion Detection and Alarm
D7070,Electronic Monitoring and Control
D7070.10,Electronic Detention Monitoring and Control
D7090,Electronic Safety and Security Supplementary Components
D7090.10,Supplementary Components
D80,Integrated Automation
D8010,Integrated Automation Facility Controls
D8010.10,Integrated Automation Control of Equipment
D8010.20,Integrated Automation Control of Conveying Equipment
D8010.30,Integrated Automation Control of Fire-Suppression Systems
D8010.40,Integrated Automation Control of Plumbing Systems
D8010.50,Integrated Automation Control of HVAC Systems
D8010.60,Integrated Automation Control of Electrical Systems
D8010.70,Integrated Automation Control of Communication Systems
D8010.80,Integrated Automation Control of Electronic Safety and Security Systems
D8010.90,Integrated Automation Supplementary Components
E,Equipment and Furnishings
E10,Equipment
E1010,Vehicle and Pedestrian Equipment
E1010.10,Vehicle Servicing Equipment
E1010.30,Interior Parking Control Equipment
E1010.50,Loading Dock Equipment
E1010.70,Interior Pedestrian Control Equipment
E1030,Commercial Equipment
E1030.10,Mercantile and Service Equipment
E1030.20,Vault Equipment
E1030.25,Teller and Service Equipment
E1030.30,Refrigerated Display Equipment
E1030.35,Commercial Laundry and and Dry Cleaning Equipment
E1030.40,Maintenance Equipment
E1030.50,Hospitality Equipment
E1030.55,Unit Kitchens
E1030.60,Photographic Processing Equipment
E1030.70,"Postal, Packaging, and Shipping Equipment"
E1030.75,Office Equipment
E1030.80,Foodservice Equipment
E1040,Institutional Equipment
E1040.10,Educational and Scientific Equipment
E1040.20,Healthcare Equipment
E1040.40,Religious Equipment
E1040.60,Security Equipment
E1040.70,Detention Equipment
E1060,Residential Equipment
E1060.10,Residential Appliances
E1060.50,Retractable Stairs
E1060.70,Residential Ceiling Fans
E1070,Entertainment and Recreational Equipment
E1070.10,Theater and Stage Equipment
E1070.20,Musical Equipment
E1070.50,Athletic Equipment
E1070.60,Recreational Equipment
E1090,Other Equipment
E1090.10,Solid Waste Handling Equipment
